omega,sigma_mode
-5.576699254362e-04,2.042501011670e+00
-9.336930370359e-06,1.587165444655e-01
5.577474423310e-04,2.028099653431e+00
3.987687188874e+00,1.951274280673e-01
3.987687193965e+00,1.372889426862e-01
3.987687246791e+00,1.839009453990e-01
3.987687280658e+00,1.494168868443e-01
3.987687286129e+00,8.559412647449e-02
3.987687314897e+00,9.820603507394e-02
1.221412166103e+01,1.488079282388e-01
1.221412169295e+01,1.641926906857e-01
1.221412169299e+01,9.712767469161e-02
1.221412169299e+01,1.750017089129e-01
1.221412169304e+01,9.990667667132e-02
1.221412172496e+01,1.798786379249e-01
1.385636897832e+01,8.629787304056e-02
1.385636898825e+01,1.932686387022e-01
1.385636899499e+01,1.406058093577e-01
1.385636899803e+01,1.050139884070e-01
1.385636900629e+01,1.122958040189e-01
1.385636901318e+01,2.167513685499e-01
1.541516141629e+01,2.737068593948e-01
1.541516144657e+01,4.290208412117e-01
1.541516147682e+01,1.761314933209e-01
